"id","heading","images","description","reporter","town","city","reporter_id","featured","status","top_news","top_new_b1","top_new_b2","top_new_b3","created_at","updated_at"
"1","مری آفت زدا قرار، ۲۱ افراد ھلاک","[""uBobOj68vv.jpg""]","برفباری س ۲۱افراد ھلاک","Superadmin",NULL,"گجرات","3","1","1","0",NULL,NULL,NULL,"2022-01-09 17:12:32","2022-01-09 17:12:32"
"2","فیصل عباس مانگٹ کا میجر شبیر شہید ہاسپٹل کنجاہ کا سرپرائز وزٹ","[""cM7Qqd63Zd.jpeg""]","فیصل عباس مانگٹ کا میجر شبیر شہید ہاسپٹل کنجاہ کا سرپرائز وزٹ، اسٹاف کی حاضری رپورٹ مرتب کی۔ سائلین سے ڈاکٹرز کے رویے اور دیگر اسٹاف سمیت طبی سہولیات کے متعلق  درپیش مسائل  سنے۔ ڈاکٹرز و سٹاف کو ہدایت جاری کیں، کہ سائلین اور مریضوں کو ہر ممکن سہولت فراہم کی جائے۔ فرائض میں غفلت اور کوتاہی ہرگز برداشت نہیں ہو گی..!!","Superadmin",NULL,"گجرات","3","0","1","0",NULL,NULL,NULL,"2022-01-10 15:00:34","2022-01-10 15:00:34"
"3","امتیازسپرسٹور سیل کرانا ، سب بھتہ طے کرنے کے لئے کیاگیا","[""yzdWtU4EHW.jpg""]","گجرات(ارشد علی سے)پاکستان پیپلزپارٹی ضلع گجرات کے سابق صدر سابق ٹکٹ ہولڈرگجرات شہرمیاں فخرپگانوالہ نے کہاہے کہ ہم پیپلزپارٹی کومضبوط بنانے کے لئے نکلے ہیں آج ملک عرفان رفیع سلیمان رفیع سفیان رفیع ارمغان رفیع کی تقریب میں نوجوانوں کوبڑی تعداد میں دیکھ کرپارٹی پرچموں کے ساتھ دیکھ کرانتہائی مسرت ہوئی ہے گجرات میں چوہدری برادران بندے نہیں کھاتے چوہدری احمدمختارمرحوم اورمیاں مشتاق حسین پگانوالہ مرحوم ظلم وجبرکے خلاف میدان میں آجاتے تھے اور اہل گجرات ان کاساتھ دیتے تھے آج پھر بدمعاشی کادوردورہ ہے امتیازسپرسٹور سیل کرانا اوراس طرح کامعاملہ ڈرامے بازی یہ سب بھتہ طے کرنے کے لئے کیاگیا ایسی ہی بدمعاشی غنڈہ گردی کے خلاف مرحوم مشتاق پگانوالہ نے آوازبلند کی ہم بھی پیپلزپارٹی کے پلیٹ فارم سے اس بدمعاشی اورغنڈہ گردی کے خلاف میدان میں آئے ہیں اورشہریوں کے حقوق کاتحفظ کریں گے انہوں نے کہاکہ پیپلزپارٹی کے بانی ذوالفقاربھٹو شہید نے پاکستان کی عوام کو جینے کا طریقہ سکھایا اورانہیں بولنے کاحق دیا","Superadmin",NULL,"گجرات","3","0","1","0",NULL,NULL,NULL,"2022-01-10 15:06:58","2022-01-10 15:06:58"
"4","بھٹو شہید کے کارنامے، ان کی سوچ افکار اورفلسفہ زندہ رہے گا","[""izQF7CZjBt.jpg""]","گجرات(ارشد علی سے)پاکستان پیپلزپارٹی ضلع گجرا ت کے جنرل سیکرٹری ڈاکٹرزاہدظہیرنے ملک عرفان رفیع،ملک سفیان،ملک سلیمان رفیع،ملک ارمغان رفیع کے زیراہتمام قمرسیالوی روڈ پرپی پی بانی ذوالفقاربھٹو شہیدسالگرہ کے موقع پرخطاب کرتے ہوئے کہاکہ آج ملک عرفان رفیع نے نہ صرف نوجوان جیالوں کابڑا اکٹھ کیابلکہ پرانے ساتھیوں کوبھی اکٹھاکیا جس پروہ مبارکباد کے مستحق ہیں ہمارے قائد بھٹو شہید کے کارنامے زندہ ہیں ان کی سوچ افکار اورفلسفہ زندہ رہے گا آج پاکستان کاایٹمی پروگرام جس کی وجہ سے ہمارا ملک کی سالمیت خطرے سے باہرہے اس کے بانی ذوالفقاربھٹو شہید ہیں آج نوجوانوں کوبھٹو شہید کے افکاراور کارناموں کوبتانے کی ضرورت ہے قمرسیالوی روڈ پر پی پی کے زیراہتمام شاندار تقریب سجانے پر ملک برادران وتمام شرکاء کوخراج تحسین پیش کرتے ہیں۔خطاب کرتے ہوئے ضلعی سیکرٹری اطلاعات خواجہ حماد اکرم، شعیب اصغربٹ، ملک حسنین نے کہاکہ پیپلزپارٹی شہیدوں کی جماعت ہے اورذوالفقارعلی بھٹو کے احسانات پاکستانی قوم پرقائد اعظم کے بعد سب سے زیادہ ہیں","Superadmin",NULL,"گجرات","3","0","1","0",NULL,NULL,NULL,"2022-01-10 15:09:41","2022-01-10 15:09:41"
"5","مولانا پیر عبد الغفور قادری  کی نماز جنازہ ادا کردی گئی ہے","[""T258rBAuhm.JPG""]","گجرات / جلالپور جٹاں: ممتاز مذہبی وروحانی شخصیت پیر طریقت مولانا پیر عبد الغفور قادری رحمۃ اللہ علیہ سجادہ نشین آستانہ عالیہ قادریہ غفوریہ بغداد نگر شریف جلالپور جٹاں کی نماز جنازہ ادا کردی گئی ہے۔ جس میں علمائے کرام مشائخ عظام سمیت ہزروں افراد نے شرکت کی۔ نماز جنازہ پیشوائے اہلسنت پیر محمد افضل قادری نے پڑھایا اور اجتماعی دعا کروائی۔ جبکہ عقیدت مندوں کی بڑی تعداد کئی گھنٹے تک مرحوم کا اخری دیدار کرتے رہے۔ اس موقع پر مرحوم کے صاحبزادگان مولانا پیر امتیاز قادری، مولانا پیر افتخار قادری، مولانا پیر اقتدار قادری ودیگر کے ساتھ اظہار تعزیت کیا گیا ہے۔ نماز جنازہ میں پیر سید منور حسین شاہ بخاری، مولانا مظفر حسین طیب، علامہ محمد عظیم قادری، علامہ حنیف طاہر قادری سمیت ہزاروں افراد نے شرکت کی۔ پیشوائے اہلسنت پیر محمد افضل قادری نے کہا کہ مرحوم کی دینی خدمات کو خراج تحسین پیش کرتے ہیں اور اللہ کریم کے حضور دعا گو ہیں اللہ کریم انہیں جنت الفردوس میں اعلی مقام عطا فرمائے اور تمام لواحقین کو صبر جمیل عطا ہو۔ آمین","Superadmin",NULL,"گجرات","3","0","1","0",NULL,NULL,NULL,"2022-01-10 15:12:41","2022-01-10 15:12:41"
"6","گجرات بار الیکشن کے نتاءج","[""D3NMrxqpoA.png""]","گجرات (رپورٹ راجہ وقاص علی سے) سالانہ انتخابات 2022 گجرات بار میں محمد حنیف راجہ ایڈووکیٹ 90ووٹوں کی لیڈ سے صدر جبکہ چوہدری شیرباز سرور 190 ووٹوں کی لیڈ سے سیکرٹری منتخب۔تفصیلات کے مطابق احاطہ سیشن کورٹ میں سالانہ انتخابات سال 2022/23 ڈسٹرکٹ بار ایسوسی گجرات کی 7 سیٹوں پر مقابلہ ہوا جس میں صدر کی سیٹوں پر چار امیدواران محمد حنیف راجہ ایڈووکیٹ نے 624 ووٹ حاصل کرکے پہلے نمبر پر جبکہ چوہدری فیاض احمد وڑائچ ایڈووکیٹ نے 534 ووٹ حاصل کرکے دوسرے نمبر پر چوہدری بدرالسلام وڑائچ ایڈووکیٹ 47ووٹ حاصل کرکے تیسرے نمبر پر جبکہ چوہدری جاوید اختر مکیانہ ایڈووکیٹ نے 8ووٹ حاصل کیے سیکرٹری کی تین سیٹوں پر چوہدری شیر باز سرور ایڈووکیٹ 599 ووٹ حاصل کرکے پہلے نمبر پر رانا کاشف ندیم ایڈووکیٹ 409 ووٹ حاصل کر کے دوسرے نمبر جبکہ ملک عثمان افضل ایڈووکیٹ 204 ووٹ حاصل کرکے تیسرے نمبر پر رہے۔پولنگ کا عمل صبح 9 بجے شروع ہوا جو کہ شام 5 بجے تک جاری رہا گجرات بار انتخابات میں 1548رجسٹرڈ ووٹوں میں سے 1219 ووٹرز وکلاء نے ووٹ کاسٹنگ کا حق رائے دہی استعمال کیا دن برساتی بارش اور روڈز پر کھڑے پانی کے باوجود ریکارڈ ووٹوں کی کاسٹنگ ہوئی کامیاب امیدواران کی جیت کی خوشی میں حمایتی سپورٹرز نے دھول کی تھاپ پر بھنگڑے ڈالے اور مٹھائی تقسیم کی جبکہ جوگ در جوگ وکلاء کی مبارکباد کا سلسلہ جاری رہا۔","Superadmin",NULL,"گجرات","3","0","1","0",NULL,NULL,NULL,"2022-01-10 15:14:11","2022-01-10 15:14:11"
"7","صدر گجرات بار چوہدری انصر محمود دہول ایڈووکیٹ بار نتاءج کا اعلان کیا","[""YndtAcQRNQ.png""]","گجرات (راجہ وقاص علی) سالانہ انتخابات گجرات میں الیکشن میں حصہ لینے والے امیدواران کے نتائج کا اعلان صدر گجرات بار چوہدری انصر محمود دہول ایڈووکیٹ نے کیا جبکہ چیئرمین الیکشن بورڈ چوہدری محمد اصغر وڑائچ ایڈووکیٹ کی زیر قیادت ممبران الیکشن بورڈ چوہدری شمشاد اللہ ملہی، چوہدری بلال حسین گورسی، چوہدری سلیم قاسم، چوہدری پرویز اقبال مچھیانہ ایڈووکیٹس جبکہ معاونین الیکشن بورڈ میں آغاز اعجاز حسین، فیاض الحسن تارڑ،اظہر اقبال مرزا، عبدالکریم مرزا، ڈاکٹر محمد احسان، راجہ محمد عثمان، میڈم فاخرہ نایاب خانم، میڈم توشیبا حفیظ، میڈم تابندہ،میڈم نگہت اقبال قریشی ایڈووکیٹس دوران پولنگ احسن طریقے سے فرائض سر انجام دے۔","Superadmin",NULL,"گجرات","3","0","1","0",NULL,NULL,NULL,"2022-01-10 15:21:19","2022-01-10 15:21:19"
"8","جماعت اسلامی ضلع گجرات کے نائب امیرحاجی محمدانوروڑائچ کی مبارکباد","[""JW71ffpuUw.jpg""]","جماعت اسلامی ضلع گجرات کے نائب امیرحاجی محمدانوروڑائچ نے کھاریاں بارایسوسی ایشن ڈسٹرکٹ گجرات کے انتخابات میں جماعت اسلامی ضلع گجرات کے امیرسید ضیاء اللہ شاہ ایڈوکیٹ کووضح اکثریت سے صدرکھاریاں بارمنتخب ہونے پرمبارکباد دی اورنیک خواہشات کااظہارکیاہے انہوں نے کہاکہ کھاریاں بار کے ممبران نے بہترین قیادت کاانتخاب کیا سید ضیاء اللہ شاہ ایڈووکیٹ کھاریاں بارکے پلیٹ فارم سے بہترین خدمات سرانجام دیں گے انہوں نے کہاکہ سید ضیاء اللہ شاہ ایڈووکیٹ قانون کی حکمرانی آئین کی پاسداری اور کھاریاں بارسے منسلک وکلاء کی فلاح وبہبود کے لئے اپنی تمام ترصلاحیتیں بروئے کارلائیں گے ان کے لئے نیک خواہشات کااظہارکرتے ہیں اوردعائے استقامت دیتے ہیں۔","Superadmin",NULL,"کھاریاں","3","0","1","0",NULL,NULL,NULL,"2022-01-10 15:25:38","2022-01-10 15:25:38"
"9","اہل گجرات مسائل اورمصائب کاشکارہیں: وزیر النساء رہنما پی پی پی","[""IMakTqpoNn.jpg""]","گجرات(ارشد علی سے)پاکستان پیپلزپارٹی شعبہ خواتین گوجرانوالہ ڈویژن کی صدرٹکٹ ہولڈرحلقہ این اے69وزیرالنساء چوہدری ایڈوکیٹ نے اپنے بیان میں کہاہے کہ تبدیلی سرکارکے چوتھے سال میں بھی اہل گجرات مسائل اورمصائب کاشکارہیں بارش سردی کی ہو یا گھرکی ہو گجرات کی سڑکیں زیرآب آناروایت اورمعمول بن گیاہے جیل چوک کے قریب سیوریج نکاسی منصوبہ جسے کھاؤ منصوبہ کہاجائے تو بہترہے تاحال کروڑوں روپے کھاکربھی تاحال ناکام ہے جیل چوک منصوبہ پچھلی حکومت میں بھی زیرتعمیرتھا جس نے کروڑو ں روپے خرچ کیے اب بھی کروڑوں کے فنڈزلگاکرمنصوبے کی افادیت نظرنہیں آتی گجرات کے شہری سرکاری حکام کی جانب سے صرف تحقیقات کے بیانات سنتے ہیں گجرات میں بارش کے باعث زندگی مفلوج ہوگئی شدید سردی میں شہربھرمیں سوئی گیس نایاب رہی لیکن انتظامیہ اور منتخب نمائندے سب اچھا کی نوید سناتے رہے۔آئندہ انتخابات میں گجرات کے عوام منتخب نمائندوں کا احتساب کریں گے۔آج گجرات میں ہرجگہ کرپشن اور بدعنوانی کادورہ ہے جس کو ناانتظامی طور پر بہترکیاجارہاہے نہ ہی منتخب نمائندے اس معاملے پرعوام کوکچھ بتاتے ہیں۔","Superadmin",NULL,"گجرات","3","0","1","0",NULL,NULL,NULL,"2022-01-10 15:27:53","2022-01-10 15:27:53"
"10","سراج الحق کی شاہزیب ڈار سے ملاقات","[""dPutUp035a.jpg""]","گجرات()جماعت اسلامی پاکستان کے امیرسراج الحق سے گزشتہ روز صدرجے آئی یوتھ ضلع گجرات شاہزیب احمد ڈار اورصدرجے آئی یوتھ گجرات شہر چوہدری حمزہ سرور نے خصوصی ملاقات کی اس موقع پرشاہزیب احمدڈارنے سراج الحق کو جماعت اسلامی یوتھ کی کارکردگی رپورٹ پیش کرتے ہوئے تنظیم سازی بارے بھی بریفنگ دی،سراج الحق نے شاہزیب احمدڈاراور چوہدری حمزہ سرورکی خدمات کوسراہتے ہوئے کہاکہ نوجوان ہی قوموں کی تبدیلی کااصل سبب بنتے ہیں کسی ملک یا سماج کی ترقی اورمستقبل کادارومداراس ملک کے نوجوانوں پرمنحصرہوتاہے انہوں نے کہاکہ پاکستان کاشمار ان ممالک میں ہوتاہے جہاں نوجوانوں کی بڑی تعداد کونہ صرف بیروزگاری بلکہ تعلیم کے مساوی مواقع اورمناسب طبی وسائل کی عدم فراہمی سمیت کئی مشکلات کاسامنا ہے،سراج الحق نے ضلع گجرات کے ذمہ داران کو کہا کہ گجرات کے نوجوانوں میں حرارت پیدا کریں اور ہر میدان میں نوجوانوں کو ساتھ لے کر چلیں تاکہ اس ملک میں حقیقی معنوں میں تبدیلی لائی جا سکے۔","Superadmin",NULL,"کھاریاں","3","0","1","0",NULL,NULL,NULL,"2022-01-10 15:30:47","2022-01-10 15:30:47"
